what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.6",1340037449977
java.vendor,sysinfo,,,"Apple Inc.",1340037449977
java.version,sysinfo,,,"1.6.0_33",1340037449977
java.vm.info,sysinfo,,,"mixed mode",1340037449977
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1340037449977
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1340037449977
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1340037449977
java.vm.specification.version,sysinfo,,,"1.0",1340037449977
java.vm.vendor,sysinfo,,,"Apple Inc.",1340037449977
java.vm.version,sysinfo,,,"20.8-b03-424",1340037449977
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1340037450117
started,bundle,org.eclipse.dltk.rse.core,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.core",1340037450369
started,bundle,org.eclipse.dltk.launching,2.0.0.v20100524-0038,"org.eclipse.dltk.launching",1340037450715
started,bundle,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui",1340037450913
started,bundle,org.jboss.tools.runtime,1.3.0.v20111208-1602-H41-M5,"org.jboss.tools.runtime",1340037450914
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1340037450942
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1340037451072
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1340037451074
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1340037451308
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1340037451358
started,bundle,org.eclipse.rse.subsystems.shells.core,3.1.201.R33x_v201106281309,"org.eclipse.rse.subsystems.shells.core",1340037451359
started,bundle,org.eclipse.rse.subsystems.shells.local,2.1.300.v201101042155,"org.eclipse.rse.subsystems.shells.local",1340037451375
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1340037451540
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1340037451714
